world_rank|institution|country|national_rank
349|Nankai University|China|10
350|University of East Anglia|United Kingdom|33
351|University of Nebraska Medical Center|USA|128
352|University of Southern Denmark|Denmark|4
353|Eindhoven University of Technology|Netherlands|11
354|Xiamen University|China|11
355|University of Otago|New Zealand|2
356|University of Santiago de Compostela|Spain|7
357|University of Exeter|United Kingdom|34
358|University of Jena|Germany|32
359|University of Perugia|Italy|13
360|Justus Liebig University Giessen|Germany|33
361|College of William and Mary|USA|129
362|Ben Gurion University of the Negev|Israel|5
363|Saint Louis University|USA|130
364|Colorado School of Mines|USA|131
365|Oklahoma State University–Stillwater|USA|132
366|University of Guelph|Canada|15
367|University of Trieste|Italy|14
368|University of Verona|Italy|15
369|University at Albany SUNY|USA|133
370|Tongji University|China|12
371|Eötvös Loránd University|Hungary|1
372|University of Alabama   Tuscaloosa|USA|134
373|University of Eastern Finland|Finland|2
374|Ewha Womans University|South Korea|10
375|City University of Hong Kong|Hong Kong|4
376|Tokyo Medical and Dental University|Japan|17
377|University of Victoria|Canada|16
378|University of Buenos Aires|Argentina|1
379|University of Texas Medical Branch at Galveston|USA|135
380|Kyung Hee University|South Korea|11
381|Hong Kong Polytechnic University|Hong Kong|5
382|Saarland University|Germany|34
383|Scuola Normale Superiore di Pisa|Italy|16
384|University of Seville|Spain|8
385|Beijing Normal University|China|13
386|Chiba University|Japan|18
387|University of Ferrara|Italy|17
388|University of Bari Aldo Moro|Italy|18
389|Polytechnic University of Milan|Italy|19
390|Temple University|USA|136
391|University of Turku|Finland|3
392|Aalto University|Finland|4
393|Simon Fraser University|Canada|17
394|Tianjin University|China|14
395|Chalmers University of Technology|Sweden|9
396|Middle East Technical University|Turkey|1
397|Cranfield University|United Kingdom|35
398|York University|Canada|18
399|Xi'an Jiaotong University|China|15
400|Chonnam National University|South Korea|12
401|University of Central Florida|USA|137
402|University of Lorraine|France|14
403|University of Bordeaux II|France|15
404|University of New Hampshire|USA|138
405|Versailles Saint Quentin en Yvelines University|France|16
406|Chonbuk National University|South Korea|13
407|Kumamoto University|Japan|19
408|Huazhong University of Science and Technology|China|16
409|Brunel University|United Kingdom|36
410|Polytechnic University of Catalonia|Spain|9
411|National Chiao Tung University|Taiwan|3
412|Southeast University|China|17
413|Tokyo University of Science|Japan|20
414|Catholic University of the Sacred Heart|Italy|20
415|Brigham Young University|USA|139
416|Technical University of Madrid|Spain|10
417|Nagasaki University|Japan|21
418|National Tsing Hua University|Taiwan|4
419|University of Warsaw|Poland|1
420|King Saud University|Saudi Arabia|1
421|University of Bath|United Kingdom|37
422|Concordia University|Canada|19
423|Georgia Regents University|USA|140
424|Niigata University|Japan|22
425|University of Oulu|Finland|5
426|Pompeu Fabra University|Spain|11
427|Vienna University of Technology|Austria|4
428|Sogang University|South Korea|14
429|Gyeongsang National University|South Korea|15
430|University of Tampere|Finland|6
431|University of Milan   Bicocca|Italy|21
432|University of Bordeaux I|France|17
433|Swedish University of Agricultural Sciences|Sweden|10
434|George Mason University|USA|141
435|Jilin University|China|18
436|University of Delhi|India|2
437|University of Campinas|Brazil|3
438|Wuhan University|China|19
439|West Virginia University|USA|142
440|Pusan National University|South Korea|16
441|University of Mississippi   Oxford Campus|USA|143
442|University of Arkansas for Medical Sciences|USA|144
443|Miami University|USA|145
444|University of Tokushima|Japan|23
445|University of Twente|Netherlands|12
446|Loyola University Chicago|USA|146
447|Ajou University|South Korea|17
448|Syracuse University|USA|147
449|Lancaster University|United Kingdom|38
450|Pontifical Catholic University of Chile|Chile|1
451|University of Chile|Chile|2
452|Innsbruck Medical University|Austria|5
453|University of Granada|Spain|12
454|Kanazawa University|Japan|24
455|University of Parma|Italy|22
456|University of Siena|Italy|23
457|Shandong University|China|20
458|Technical University of Dortmund|Germany|35
459|University of KwaZulu Natal|South Africa|4
460|University of Nevada Reno|USA|148
461|Yokohama City University|Japan|25
462|École normale supérieure de Lyon|France|18
463|University College Cork|Ireland|3
464|Ohio University|USA|149
465|Central South University|China|21
466|University of Modena and Reggio Emilia|Italy|24
467|New Mexico State University|USA|150
468|University of Konstanz|Germany|36
469|University of Hawaii at Manoa|USA|151
470|University of Nebraska Omaha|USA|152
471|Shinshu University|Japan|26
472|University of Strathclyde|United Kingdom|39
473|Baylor University|USA|153
474|Polytechnic University of Valencia|Spain|13
475|Harbin Institute of Technology|China|22
476|University of Rennes 1|France|19
477|University of Arkansas   Fayetteville|USA|154
478|Aristotle University of Thessaloniki|Greece|2
479|Jagiellonian University|Poland|2
480|Texas Tech University (TTU)|USA|155
481|University of Rostock|Germany|37
482|University of Akron|USA|156
483|University of Saskatchewan|Canada|20
484|Juntendo University|Japan|27
485|University of Wyoming|USA|157
486|Macquarie University|Australia|9
487|University of Canterbury|New Zealand|3
488|University of Denver|USA|158
489|Illinois Institute of Technology|USA|159
490|Creighton University|USA|160
491|Bielefeld University|Germany|38
492|University of Malaya|Malaysia|2
493|University of Ulsan|South Korea|18
494|City University London|United Kingdom|40
495|Grenoble Institute of Technology|France|20
496|Federal University of Minas Gerais|Brazil|4
497|University of Hanover|Germany|39
498|South China University of Technology|China|23
499|University of Surrey|United Kingdom|41
500|Otto von Guericke University Magdeburg|Germany|40
